ensgene	symbol	m7_d5_nutri_1	m7_d5_nutri_2	m7_d5_nutri_3	m7_d5_nutri_4	Rap_d1_nutri_1	Rap_d1_nutri_2	Rap_d1_nutri_3	Rap_d1_nutri_4	Ric_d5_nutri_1	Ric_d5_nutri_2	Ric_d5_nutri_3	Ric_d5_nutri_4	v_d4_nutri_1	v_d4_nutri_2	v_d4_nutri_3	v_d4_nutri_4
ENSG00000169962	TAS1R3	0	0	0	0	0	0	0	1	2	0	0	1	7	8	25	17
ENSG00000226545	AL357552.1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
ENSG00000233653	CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268663	WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285	ERRFI1	3097	2667	1530	2159	4550	4404	2936	4896	2767	2204	3714	4325	3710	1714	2193	2107
ENSG00000229280	EEF1DP6	1	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0
ENSG00000142655	PEX14	141	168	184	138	107	149	75	115	321	186	298	238	286	227	294	261
ENSG00000232596	LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232663	AL139415.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284646	AL031291.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000240409	MTATP8P1	11	10	11	14	7	6	12	3	8	9	16	25	20	18	29	21
ENSG00000229344	MTCO2P12	35	33	39	33	26	19	22	18	36	22	36	40	48	21	47	27
ENSG00000231510	AL691497.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	PLCH2	3	0	2	1	0	0	2	0	1	0	1	1	0	2	0	1
ENSG00000284739	BX005132.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171621	SPSB1	382	351	222	91	46	52	48	34	262	232	169	110	351	282	214	129
ENSG00000272235	AL590438.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	RPL23AP24	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1
ENSG00000284694	AL355602.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000162441	LZIC	233	144	119	246	484	505	546	427	488	574	971	1309	300	163	168	218
ENSG00000230021	AL669831.3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSG00000271264	MZT1P1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000287356	NA	9	3	4	3	7	11	6	6	3	4	3	6	8	3	5	4
ENSG00000224387	AL139246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285629	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173673	HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	TP73-AS1	147	197	165	128	183	193	80	235	254	189	224	190	214	193	208	268
ENSG00000142583	SLC2A5	0	1	0	1	0	0	0	0	1	0	0	3	0	0	2	0
ENSG00000223663	NDUFB4P8	2	1	0	1	8	0	2	0	12	0	8	2	2	2	1	2
ENSG00000284674	BX005132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272161	AL589739.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	AL732372.2	11	3	4	5	6	2	1	0	0	2	4	2	5	1	13	5
ENSG00000224338	MTCYBP45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	ENO1	149248	149696	190810	145643	101604	128918	117754	124654	185520	119727	208912	163346	149927	123666	151556	189223
ENSG00000116786	PLEKHM2	261	313	256	181	171	197	130	138	604	399	548	402	432	417	498	479
ENSG00000287727	NA	1	0	0	0	1	0	0	0	1	2	4	2	0	0	1	0
ENSG00000176022	B3GALT6	68	49	68	58	68	80	78	66	119	73	123	126	92	89	114	118
ENSG00000223989	AL357140.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	AL357552.2	18	10	1	20	15	15	21	18	19	25	38	32	20	3	0	1
ENSG00000286448	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162496	DHRS3	6087	5943	7681	5702	3816	4361	6022	3632	1915	1417	2148	2058	1533	1399	1341	1493
ENSG00000237365	AL512330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	CA6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229305	AL358876.1	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	1
ENSG00000284703	AL805961.2	0	1	1	1	1	0	3	0	2	4	0	13	5	5	3	0
ENSG00000226457	AL358794.1	5	9	10	3	4	7	4	7	7	7	13	6	9	4	12	5
ENSG00000162494	LRRC38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173614	NMNAT1	533	506	638	613	457	532	631	486	1518	1160	1942	1700	764	580	621	832
ENSG00000248527	MTATP6P1	104	108	115	104	32	46	57	46	114	80	152	149	173	132	194	161
ENSG00000237728	Z97987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215720	AL035405.1	0	1	1	7	0	0	0	0	6	2	1	3	3	1	0	2
ENSG00000279804	PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	AL603962.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285701	NA	16	25	5	11	6	1	7	7	27	8	21	13	24	22	5	12
ENSG00000233623	PGAM1P11	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0
ENSG00000162592	CCDC27	1	1	0	1	4	2	1	2	1	2	0	2	1	0	1	1
ENSG00000116254	CHD5	10	12	14	5	6	6	1	2	14	16	13	16	32	25	29	28
ENSG00000049245	VAMP3	2664	2514	2190	2662	4837	4758	4434	4509	5823	4500	7683	7654	3752	2507	2405	3164
ENSG00000179743	FLJ37453	38	24	18	29	68	72	46	66	130	96	178	182	92	53	76	66
ENSG00000233645	AL358876.2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0
ENSG00000234064	PRAMEF29P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	DISP3	31	21	16	19	10	5	0	7	11	4	4	11	4	4	2	4
ENSG00000284708	AL031731.1	72	72	42	57	13	12	27	11	13	11	16	14	19	16	14	9
ENSG00000171603	CLSTN1	533	465	600	365	310	391	345	239	805	563	812	743	797	623	812	865
ENSG00000280113	AL357140.3	1	0	1	4	7	0	1	0	10	4	9	3	2	0	1	0
ENSG00000142606	MMEL1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235146	AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162572	SCNN1D	2	5	0	0	4	2	4	4	3	0	6	5	6	6	7	3
ENSG00000225931	AL139246.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	AL732372.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000171729	TMEM51	277	198	193	248	36	30	43	29	308	287	425	295	256	190	165	171
ENSG00000228150	AL357140.2	14	23	4	8	11	9	8	15	18	11	29	32	11	8	2	7
ENSG00000175262	C1orf127	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	3
ENSG00000279457	FO538757.1	41	53	46	36	58	62	14	20	36	20	68	38	41	41	25	73
ENSG00000162571	TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231181	AL954705.1	9	5	3	7	8	9	9	13	13	13	16	30	15	6	1	2
ENSG00000238173	RPL39P6	0	0	0	1	1	2	1	0	1	0	1	0	1	0	0	0
ENSG00000158109	TPRG1L	691	651	470	260	349	336	231	187	1611	1191	1045	681	1139	1060	602	652
ENSG00000229393	AL139246.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269978	AL359881.1	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0
ENSG00000037637	FBXO42	927	895	959	589	455	515	315	537	1513	1201	1603	1376	1186	902	1008	1075
ENSG00000184163	C1QTNF12	3	5	2	5	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000287586	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000159423	ALDH4A1	1075	1337	1542	911	841	890	631	762	1110	794	1215	896	929	785	1127	1136
ENSG00000142599	RERE	316	276	226	243	129	157	106	138	297	207	339	268	316	207	260	243
ENSG00000227169	Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	Z97988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011021	CLCN6	803	709	769	606	608	476	199	617	1387	782	1239	1006	1512	1100	1484	1567
ENSG00000272482	AC254633.1	0	2	3	3	2	2	0	1	2	1	2	3	0	3	3	4
ENSG00000284747	AL034417.4	5	7	4	6	32	24	18	18	61	41	67	58	17	13	10	16
ENSG00000215912	TTC34	5	2	7	0	1	3	1	8	11	6	6	0	0	6	7	6
ENSG00000120952	PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243073	PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142615	CELA2A	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000215704	CELA2B	3	0	0	0	1	1	2	0	1	0	0	1	0	3	0	0
ENSG00000065526	SPEN	297	306	124	178	195	195	199	239	604	379	602	533	515	262	310	271
ENSG00000157916	RER1	1347	1689	1782	917	1238	1184	1098	1135	2249	1533	2443	2021	2057	1757	1840	2224
ENSG00000157881	PANK4	450	540	545	417	518	579	331	555	1233	868	1412	1209	1352	1001	1191	1388
ENSG00000116213	WRAP73	329	367	420	308	370	329	243	306	924	637	1039	895	836	665	771	735
ENSG00000283611	AL357140.4	17	10	2	8	10	2	9	4	18	8	17	9	5	6	1	5
ENSG00000238290	AL034417.2	38	25	22	24	37	30	31	21	66	64	123	70	71	45	66	79
ENSG00000225387	AL591896.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048707	VPS13D	140	115	72	123	130	113	70	131	325	228	330	347	247	159	143	152
ENSG00000158748	HTR6	14	8	14	7	2	2	2	0	5	7	12	3	8	4	5	3
ENSG00000235643	LINC01647	1	2	0	0	0	0	0	0	0	1	0	1	2	0	3	2
ENSG00000225196	RPL10P17	0	0	3	1	0	0	2	0	0	0	5	2	2	0	0	0
ENSG00000130762	ARHGEF16	88	96	131	72	74	70	24	60	96	51	80	62	175	172	169	187
ENSG00000162444	RBP7	0	1	3	2	4	4	0	0	1220	899	1594	1582	837	774	798	1019
ENSG00000279169	PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279625	AL591122.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	GPR157	109	114	179	118	42	43	48	27	242	213	296	208	163	166	178	192
ENSG00000231219	PRAMEF32P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184677	ZBTB40	1474	1391	1484	1235	619	604	357	573	1617	1199	1796	1281	1086	908	815	1152
ENSG00000230679	ENO1-AS1	29	22	13	21	12	16	16	11	55	23	36	29	32	25	17	12
ENSG00000270136	MINOS1-NBL1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000132879	FBXO44	2859	2729	3774	2819	996	1347	959	1097	2064	1382	2234	1803	2262	1883	2525	2874
ENSG00000187545	PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288398	NA	1566	1833	2208	1303	960	1047	1744	1025	2491	1813	2715	2106	2721	2400	2750	2950
ENSG00000224621	AL451042.1	2	15	12	6	24	24	23	25	33	21	36	35	27	24	34	22
ENSG00000239810	PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285833	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116721	PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215785	CFL1P6	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
ENSG00000131697	NPHP4	75	82	67	74	57	52	27	53	155	72	138	114	157	127	159	125
ENSG00000284692	Z98259.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225952	AL512444.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000280222	AL365209.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188807	TMEM201	176	184	191	132	107	116	70	93	254	174	238	180	223	178	245	190
ENSG00000227634	LINC01714	6	0	6	2	1	1	2	2	6	2	4	5	4	5	0	1
ENSG00000198793	MTOR	2017	1805	1798	1570	1779	1608	480	1971	5554	3597	5741	4362	3718	2522	2740	2833
ENSG00000078900	TP73	61	56	39	12	54	52	21	27	117	110	108	55	80	69	98	49
ENSG00000285945	NA	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000171819	ANGPTL7	0	1	0	6	1	1	0	1	2	8	5	6	2	4	0	0
ENSG00000229162	AL445471.1	5	3	5	8	3	0	1	0	8	1	3	4	3	5	3	5
ENSG00000197921	HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233755	AL050344.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	PARK7	6052	6630	8019	4829	5379	6638	6810	5801	12032	8642	14639	14701	8821	7402	7613	9864
ENSG00000238164	TNFRSF14-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000233929	MT1XP1	17	9	13	14	18	8	21	12	31	20	21	41	20	14	14	27
ENSG00000271742	AL121992.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000226396	AL031727.1	646	642	883	559	400	383	402	375	673	421	847	860	503	439	531	670
ENSG00000232423	PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229247	AL627313.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000169504	CLIC4	2385	1226	320	2110	5333	5522	3141	4997	1321	1798	3132	6053	1297	372	504	285
ENSG00000224311	AL590640.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225159	NPM1P39	239	159	125	235	279	365	343	292	167	202	332	724	95	39	60	37
ENSG00000272088	AL512413.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228338	LINC01784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181773	GPR3	60	49	68	36	66	75	52	82	64	38	63	38	23	25	22	36
ENSG00000241547	ACTG1P20	102	120	127	100	80	73	59	88	183	117	191	160	127	99	132	149
ENSG00000224129	DPPA2P2	0	0	0	0	0	0	3	0	2	2	0	3	0	1	2	1
ENSG00000234166	ARHGEF19-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	AL590128.2	3	2	3	2	5	5	11	4	7	6	8	5	11	4	2	2
ENSG00000233954	UQCRHL	196	160	232	185	110	144	183	119	306	195	352	367	194	149	156	220
ENSG00000174950	CD164L2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000235282	DYNLL1P3	2	10	3	1	2	3	4	2	2	2	6	4	6	4	5	4
ENSG00000055070	SZRD1	1577	1828	1956	1270	1169	1370	972	1434	3079	2277	3765	3441	2424	2024	2120	2619
ENSG00000175087	PDIK1L	82	40	10	50	202	220	147	169	22	80	64	267	61	13	27	14
ENSG00000171735	CAMTA1	1299	1538	1615	1144	1142	1108	1076	946	1958	1372	2268	2357	1768	1467	1615	1928
ENSG00000157191	NECAP2	3945	4272	5108	3444	2535	2834	2221	2695	8813	5998	9954	9199	6559	5447	5762	7315
ENSG00000284699	AL445648.1	1	0	2	1	1	1	1	5	2	0	0	0	6	2	2	1
ENSG00000229985	AL590640.2	1	2	2	6	0	1	0	4	1	0	5	5	1	3	2	3
ENSG00000230035	AL359738.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235185	AL031727.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
ENSG00000236782	AL391650.1	9	4	9	7	2	2	2	4	10	2	11	6	3	3	5	4
ENSG00000116663	FBXO6	940	965	1212	712	376	363	380	339	857	659	1078	1043	1505	1331	1557	1900
ENSG00000225643	AL606491.1	4	2	1	0	0	0	0	0	5	0	0	0	1	1	0	0
ENSG00000284666	Z98259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243659	FO393419.3	13	3	3	5	4	5	7	2	4	3	5	12	5	1	4	2
ENSG00000228943	AL137792.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232848	AL034417.1	6	11	8	4	1	1	0	0	7	1	6	10	2	3	1	2
ENSG00000234397	AL591122.1	4	2	3	3	3	2	1	1	7	3	1	6	1	2	2	2
ENSG00000284309	AL391650.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269925	Z98884.2	3	1	1	1	0	1	1	2	3	0	5	1	2	1	0	1
ENSG00000162511	LAPTM5	3	0	0	2	15	13	10	17	0	2	2	6	4	7	6	3
ENSG00000158014	SLC30A2	2	2	2	8	1	0	0	2	2	2	3	6	1	3	0	0
ENSG00000204138	PHACTR4	2813	2481	2277	2016	1908	1811	2327	2081	4411	3113	5236	4433	3168	2109	2079	2314
ENSG00000233419	AL121994.1	1	0	3	1	2	0	0	0	0	0	2	0	1	0	2	0
ENSG00000235263	AL928921.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000228176	AC092265.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231251	AL021921.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142675	CNKSR1	3	1	3	3	1	1	1	0	4	2	3	0	0	2	0	0
ENSG00000197245	FAM110D	0	2	0	1	1	0	1	0	1	1	1	0	1	1	0	0
ENSG00000231949	AL161638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261025	AL445471.2	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0
ENSG00000116237	ICMT	361	277	156	167	368	314	241	217	928	781	792	767	614	358	242	257
ENSG00000158195	WASF2	12909	13583	14864	9716	11885	11520	10047	12582	25641	18426	27717	22029	17262	14580	15431	16741
ENSG00000130772	MED18	365	358	473	416	332	399	342	420	912	562	1058	683	677	573	740	793
ENSG00000215899	AC209007.1	0	2	0	2	0	1	1	1	0	1	2	1	1	0	1	0
ENSG00000237429	BX293535.1	0	0	0	0	6	10	4	7	0	1	4	3	9	2	4	9
ENSG00000271398	AL353622.2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000225011	AL671862.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	AL139287.1	6	24	9	7	22	13	27	7	19	10	14	20	10	7	12	20
ENSG00000235069	AL627082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284676	AL645944.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237058	AL831784.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233399	LINC01648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000090020	SLC9A1	318	338	269	188	151	139	94	126	626	342	527	346	486	367	496	370
ENSG00000225990	SNRPEP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157978	LDLRAP1	587	519	629	533	144	163	112	129	352	263	411	361	310	340	334	380
ENSG00000226944	AL031847.1	1	1	5	2	1	2	5	5	6	9	10	6	3	2	9	2
ENSG00000270282	AL096855.2	2	0	0	3	3	1	0	3	0	0	2	0	0	0	0	0
ENSG00000130770	ATPIF1	1120	991	1339	798	1391	1433	1229	1191	1922	1472	2377	2553	1443	1287	1383	1632
ENSG00000235131	AL136528.2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000229044	AL451070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162512	SDC3	84	72	82	49	25	21	22	12	102	58	80	54	91	80	94	102
ENSG00000179840	PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000272449	AL139246.5	5	13	11	4	0	0	2	0	4	4	8	9	9	11	10	11
ENSG00000214973	CHCHD3P3	160	148	74	118	97	125	127	118	81	67	142	160	40	21	24	38
ENSG00000158006	PAFAH2	528	479	551	472	443	494	411	509	841	723	1289	998	569	415	378	417
ENSG00000214812	AL137792.1	0	2	1	4	9	16	8	4	9	2	8	8	2	2	1	2
ENSG00000142784	WDTC1	571	649	880	509	214	298	89	308	868	583	943	706	740	697	923	840
ENSG00000227950	AL590128.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000126698	DNAJC8	1984	1645	944	1743	3134	3402	3444	2879	1951	2144	3783	6101	1382	656	688	824
ENSG00000229447	AC114495.2	19	10	4	12	22	10	29	13	20	11	17	17	10	2	1	3
ENSG00000229607	AL137027.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229994	RPL5P4	142	155	176	139	198	181	146	135	189	161	271	506	50	58	47	63
ENSG00000130766	SESN2	4372	5226	6044	3637	1848	1531	2283	2213	8661	5439	8914	7266	4889	3725	5734	4574
ENSG00000168528	SERINC2	681	768	884	522	34	42	40	41	245	188	319	221	785	652	794	887
ENSG00000196581	AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169403	PTAFR	7	10	9	4	8	13	17	12	9	3	17	15	3	3	4	17
ENSG00000117676	RPS6KA1	693	772	426	260	333	369	156	217	923	579	550	371	605	589	420	408
ENSG00000225126	AL365194.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000084628	NKAIN1	6	21	24	3	2	2	3	4	6	0	2	1	7	3	10	6
ENSG00000060688	SNRNP40	1386	1403	1530	1187	1743	1821	1656	1714	2063	1461	2622	2865	1566	1223	1165	1538
ENSG00000236335	AL161638.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	SLC25A33	81	56	23	29	75	90	116	73	287	256	266	231	212	121	69	73
ENSG00000241169	FO393419.2	0	0	0	1	1	0	0	0	3	1	0	0	1	0	0	0
ENSG00000227001	NBPF2P	17	13	15	10	2	6	4	4	16	10	16	17	8	5	8	3
ENSG00000270927	AL645944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162458	FBLIM1	762	837	1095	703	680	591	546	535	3038	1932	2967	2312	2587	2114	2962	2833
ENSG00000188910	GJB3	0	0	0	0	0	0	0	0	17	13	27	15	8	7	7	5
ENSG00000230523	LINC01756	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186056	MATN1-AS1	11	8	9	5	8	8	2	5	3	0	1	0	3	2	3	8
ENSG00000116138	DNAJC16	590	453	364	388	597	634	551	669	1256	806	1319	1283	851	488	448	613
ENSG00000231207	FO393419.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142765	SYTL1	16	15	23	15	22	18	11	14	65	50	59	52	56	58	65	69
ENSG00000158161	EYA3	2793	2729	2404	1994	1813	1576	2953	1718	3397	2556	3714	3565	2098	1524	1245	1793
ENSG00000270330	AL009183.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000142684	ZNF593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619	RPL7P11	4	3	2	3	4	2	4	4	2	2	3	9	2	0	0	0
ENSG00000121769	FABP3	13	23	3	11	10	25	5	13	25	19	34	26	18	17	4	16
ENSG00000157330	C1orf158	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0
ENSG00000142627	EPHA2	1310	1499	1519	1194	2398	2756	1548	2455	4287	2697	3930	3226	3578	2712	3949	3802
ENSG00000284668	AL805961.1	0	0	0	0	0	0	0	0	262	221	361	260	80	60	92	72
ENSG00000233234	AL592464.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
